Job_Name,Company,City,Job_type,Employees,Followers,Applicants,Industry,Level,Involvment,Job_Desception,skills
Process Developer OTC-HMS031324,Genpact,Bengaluru,On-site,10001,"1,30,023",17,Information Technology & Services ,Entry level,Full-time,,Accounts Receivable (AR) Cash Application Commerce Interpersonal Skills Order to Cash 
Assistant Manager IC GSC's,HSBC,Hyderabad,Hybrid,10001,"1,68,921",14,Financial Services ,Mid-Senior level,Full-time,,Communication Computer Literacy Customer Satisfaction Organization Skills Reduced Costs Reporting Requirements Skilled Multi-tasker 
Process Associate-BFS026746,Genpact,Gurugram,On-site,10001,"1,30,023",33,Information Technology & Services ,Entry level,Full-time,,Analytical Skills Business Process Outsourcing (BPO) Commerce Cultural Awareness Loans Process Improvement Quality Control Record Keeping Rollovers Service Levels 
Talent Acquisition Specialist,Meril,Mumbai,On-site,5000,"2,629",200,Medical Device ,Executive,Full-time,"6 days working - Near Andheri beside JB Nagar Chakala Metro Station', '', '', '', '', '', ''",Human Resources (HR)Communication End to End Recruitments Interpersonal Communication Negotiation Pharmaceuticals Recruiting Salary Negotiations Sales Sales Hiring 
Customer Service Associate - Language Specialist,Amazon,Chennai,On-site,10001,"8,21,695",149,Computer Software ,Mid-Senior level,Full-time,,Communication Communication Training Customer Experience Customer Support Documentation English Italian Oral Communication Phone Etiquette Written Communication 
IT Business Development Manager (US Time Zone),MokshaaLLC,Bengaluru,Remote,200,7,200,Information Technology & Services ,Mid-Senior level,Full-time,,Agile Methodologies Application Management Business Development Communication English MHE Production Support Supply Chain Management WMOS Warehouse Management 
PD Collections-HMS031307,Genpact,Gurugram,On-site,10001,"1,30,023",11,Information Technology & Services ,Entry level,Full-time,,Cash Collection Communication Customer Requirements Customer Service Debt Collection Dispute Resolution Fax High Energy Level Inbound Marketing Negotiation 
Catalogue Specialist,Flipkart,Bengaluru,On-site,10001,"44,862",113,Computer Software ,Mid-Senior level,Full-time,"Be an integral part of the Hotels Cataloging & Content team to deliver a world class customer experience', 'Contribute to long-form content for Hotels on Cleartrip to improve content quality', 'Deliver operational excellence by ensuring strong cataloging hygiene across hotels', '', '', '', '', '', '', ''",Attention to Detail Catalogue Communication Mass Communication Organization Skills Prioritize Workload Web Content Writing Writing 
Full Stack Engineer,Amelia,Bengaluru,On-site,5000,512,190,Computer Software ,Associate,Full-time,,Angular Core Java Full-Stack Development Hibernate Java JavaScript Maven Node.js React.js Spring Framework 
"Asst Procurement Manager, Rigids Packaging - India Department:",Unilever,Mumbai,On-site,10001,"1,10,177",46,Consumer Goods ,Mid-Senior level,Full-time,,Business Case Preparation Cost Savings Procurement Procurement Contracts Professional Skills Senior Stakeholder Management Social Sustainability Stakeholder Management Strategic Sourcing Supplier Evaluation 
Solution Architect Android TV,INVIDI Technologies Corporation,Tamil Nadu,Hybrid,200,279,11,Computer Software ,Mid-Senior level,Full-time,,Android Architecture Architecture Development Business Business Units Computer Science Engineering Mathematics Solution Architecture Technical Subject Matter 
Executive Compensation Associate,HSBC,Hyderabad,Hybrid,10001,"1,68,921",55,Financial Services ,Mid-Senior level,Full-time,,Human Resources (HR)Compensation Management Confidentiality Formulas High Pressure High Proficiency Interpersonal Skills Job Evaluation Management Development Written Communication 
BSP Developers,Tata Elxsi,Bengaluru,On-site,10001,"13,245",52,Information Technology & Services ,Mid-Senior level,Full-time,"We are looking for bright and passionate engineers, senior engineers, and leads who are familiar with automotive development and testing in the areas listed below:Location:- Bangalore, Chennai, Hyderabad, Pune, Trivandrum, CalicutQualification:- B.E/ B. Tech/ M.E/ M. TechExperience:- 3 to 10 YrsSkills :-'",C++ Debugging Device Drivers I2C Kernel Linux Logic Analyzer Object-Oriented Programming (OOP) PCIe Service Provider Interface (SPI) 
"Operations Associate for Interior Designing, Civil and Site Engineering",Ander Baher,Borivali,Hybrid,45201,5,44,Architecture & Planning ,Mid-Senior level,Full-time,,Architecture AutoCAD Civil Engineering Design Engineering Google Workplace Interior Design Operations Professional Manner Site Engineering 
Production Agent,Wipro,Hyderabad,On-site,10001,"3,00,325",43,Information Technology & Services ,Mid-Senior level,Full-time,,Adsense Google Ads Reasoning Skills 
Management Trainee - RTR-HEA008185,Genpact,Hyderabad,On-site,10001,"1,30,023",6,Information Technology & Services ,Associate,Full-time,,Communication General Accounts R2R 
Deputy Manager - Instrumentation & Automation,Biocon Biologics,Bengaluru,On-site,0,"3,508",200,Biotechnology ,Mid-Senior level,Full-time,"Accountable for Process and Plant automation & maintaining electronic control systems, Laboratory Instruments and compliance to operations, per scope for Biologics DP manufacturing facility.', 'Accountable for executing and continuously improving any related activity, including functional and people management related', '', '', '', '', '', '', ''",Clinical Trial Management System (CTMS) Communication Electronic Common Technical Document (eCTD) Instrumentation LCM Regulatory Affairs Regulatory Guidelines Regulatory Operations Regulatory Submissions U.S. Food and Drug Administration (FDA) 
PD-AP-CPG039340,Genpact,Gurugram,On-site,10001,"1,30,023",12,Information Technology & Services ,Entry level,Full-time,,Accounts Payable Commerce Internal Compliance Invoice Processing Language Skills Operational Activities Proposal Writing Requisitions Service-Level Agreements (SLA) Transactional 
Assistant Manager - Alternative,JLL,Bengaluru,On-site,10001,"75,530",2,Real Estate ,Associate,Full-time,,Communication Presentations Transaction Management 
Social Media Manager,POPxo | Good Glamm Group,Mumbai,On-site,200,177,200,Computer Software ,Associate,Full-time,"Position Summary & Scope: Social Media Associate will be responsible for planning, executing, and monitoring POPxoBeauty account. He/She will also be responsible for working with supporting departments such as Design, Growth, etc. As a Social Media specialist working in the field of beauty, we expect him/her to be up to date with the latestbeauty trends, digital technologies and social media features. The candidate should also be comfortable with creating, editing and stitching up reels using Instagram and editing app features.'",Social Media MarketingBeauty Industry Social Media Social Media Advertising Social Media Blogging Social Media Communications Social Media Optimization (SMO) 
Growth Specialist,Proso.ai,Noida,On-site,200,38,59,Information Technology & Services ,Mid-Senior level,Full-time,,MarketingBusiness Requirements Content Creation Customer Success Outbound Marketing Strategic Communications 
Management Trainee-BFS026819,Genpact,Hyderabad,On-site,10001,"1,30,023",18,Information Technology & Services ,Associate,Full-time,,Accounts Payable Communication Statutory Accounting Principles (SAP) 
Search Engine Optimization Manager,Clensta,Gurugram,On-site,200,57,126,Retail ,Mid-Senior level,Full-time,"Reviewing and analyzing client sites for areas that can be improved and optimized.', 'Preparing detailed strategy reports.', 'Identifying powerful keywords to drive the most valuable traffic.', 'Filling websites and other content with effective keywords.', 'Developing link-building strategies.', 'Analyzing keywords and SEO techniques used by competitors.', 'Keeping updated on both white hat and black hat SEO strategies to avoid stay within search engine guidelines.', 'Compiling and presenting SEO guidelines.', 'Should be well versed with on-page (meta tags, keywords, content, tags, page load speed, internal linking, breadcrumbs, website structure) and off-page strategies (backlinks, online reputation, guest outreach, anchor text).', 'Manage content strategy for SEO and YouTube SEO.', ""Improve 'rank' in major search engines."", 'Monitor Google Analytics and Google Search Console and keep up on the latest algorithm updates and SEO trends.', 'Monitor and analyse SEO statistics such as rankings, traffic, click rate, bounce rate, and more.', 'Build systems and best practices to ensure that all content is optimized for SEO.', 'Work with web developers and the content marketing team to properly implement SEO best practices in coding and campaigns.', 'Perform regular SEO audits and drive implementations as necessary.', 'Produce daily, weekly, and monthly KPI reports and take necessary actions across all digital campaigns.', 'Examine and optimize metrics for campaigns using analytics/reporting tools like Google Analytics and other industry tools.', 'SEMRUSH,', 'Similar Web,', 'Keyword Planner,', 'Google Analytics,', 'PowerPoint & Excel', '3-5 years of experience is required.', 'Good knowledge of content marketing, content growth, and SEO.', 'Working knowledge of search engine optimization practices.', 'Outstanding ability to think creatively, strategically, and identify and resolve problems.', 'Excellent verbal and written communication skills.', 'Ability to work within a team and independently.', 'Familiarization with Google analytics.', 'Experience with website optimization tools.', 'Strong organizational, time management, and analytical skills.'",Backlinks Digital Marketing Google Analytics Google Search Console Keyword Research Off-Page SEO SEO Audits SEO Copywriting Search Engine Optimization (SEO) Web Analytics 
Project Manager,MongoDB,Bangalore Urban,On-site,5000,"5,037",32,Computer Software ,Mid-Senior level,Full-time,"Oversee project delivery and progress against the roadmap for a set of initiatives within the Partner Sales Strategy & Planning org', 'Monitor project progress and provide project updates on a consistent basis to all stakeholders', 'Utilize Project Management best practices (Agile, Waterfall, etc..), techniques, and standards throughout entire project execution process', 'Forecast staffing & resource needs to reach objectives and maintain organization of these in an efficient manner', 'Contribute to the overall team strategy that will deliver on team and company objectives', 'Measure project performance across the project portfolio on a quarterly and annual basis', 'Drive cross functional communication when collaborating on projects that span multiple departments e.g Sales, Marketing, Engineering, Finance, Operations, CRM.', 'Suggest and implement process improvements that allow the team to work more efficiently and collaboratively', 'Demonstrates a high level of accountability married with a huge sense of urgency', 'Ability to work independently with a desire to ‘own’ what you do5+ years of tech industry experience (ideally B2B software)', 'Ability to make sound decisions in a fast-paced, changing environment Project Management Professional (PMP) certification highly desirable', 'Experience presenting & communicating data-driven insights to senior stakeholders', 'Previous experience with Salesforce is highly desirable', 'Strong familiarity with project management tools and methodologies', 'Great relationship builder and able to connect with people across the organization', 'Team player who can work with individuals from different backgrounds across the entire organization', 'Strong communicator (spoken and written)', 'Proven ability to troubleshoot problems creatively and complete projects according to outlined scope, budget, and timeline', 'Expands a team’s bandwidth by integrating themselves quickly and assessing issues that serve as barriers to operating at maximum effectiveness', 'Think Big, Go Far: We are big dreamers with a passion for creativity. We eagerly pursue new opportunities and markets through innovation and disruption.', 'Make It Matter: We are relentless in our pursuit of meaningful impact. We think strategically and are clear on what we are and are not trying to do.', 'Build Together: We achieve amazing things by connecting and leveraging the diversity of skills, experiences and backgrounds of our entire organization.', 'Embrace the Power of Differences: We achieve amazing things by connecting and leveraging the diversity of skills, experiences and backgrounds of our entire organization.', 'Be Intellectually Honest: We embrace reality. We apply high-quality thinking and rigor. We have courage in our convictions but work hard to ensure biases or personal beliefs do not get in the way of finding the best solution.', 'Own What You Do: We take ownership and are accountable for everything that we do. We empower and we are empowered to make things happen, and balance independence with interdependence.'",Communication Presentations Project Performance 
Marketing Assoc 1,IQVIA,Bengaluru,On-site,10001,"70,701",2,Hospital & Health Care ,Mid-Senior level,Full-time,"3-5 years experience on Tableau Educational Background', 'Any Bachelor’s/Master’s degree (Pharma background preferred) Principal Accountabilities', 'Developing, maintaining, and managing advanced reporting, analytics, dashboards and other BI solutions.', 'Performing and documenting data analysis, data validation, and data mapping/design.', '', '', '', '', '', '', '', '', '', ''",MarketingPharmaceuticals Technical Specs 
Client Success Associate,MarketsandMarkets™,Pune,Hybrid,5000,"1,829",200,Market Research ,Associate,Full-time,,Account Management Business-to-Business (B2B) Complex Sales Customer Success Enterprise Technology Sales Inside Sales International Sales Key Account Management Renewals Value Selling 
Team Lead,Infosys BPM,Pune,Hybrid,10001,"33,691",133,Information Technology & Services ,Mid-Senior level,Full-time,"Act as an expert for the project team to different stakeholders; ensures process compliances, resolutions o escalations; track and report projects status regularly; contribute to process improvements WITH THE OBJECTIVE to sustain delivery predictability and meet client and internal commitments WITHIN the guidelines, policies and norms of the company'",MarketingAnalytical Skills Communication English Negotiation Team Management 
Business Development Executive,Itvedant Education Pvt. Ltd.,Mumbai,On-site,200,235,23,Higher Education ,Associate,Full-time,"Responsible for the end-to-end student admission cycle.Handling student inquiries effectively.', 'Explaining the candidate about the available IT courses and their payment plans and resolving their doubts and queries accordingly.', 'Following up with the candidate for joining the course/program and for the payment.', 'Making follow-up calls for due payments from the candidates.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ''",Admissions Counseling Business Development Communication Deal Closure Employee Benefits Negotiation Presentation Skills Sales 
Process Engineer,CMCD - Chemplast Sanmar Ltd.,Hosur,On-site,1000,4,200,Chemicals ,Associate,Full-time,"Location : Berigai, HosurJob Responsibilities:- Looking for candidates with 2-4 years of experience in Process Engineering- Should have exposure in Process optimization , Process Improvements, Scale Up Operations , Process Safety , Automation and Calculations for equipment design.'",Automation Batch Processing Equipment Design Manufacturing Scale-up Process Improvement Process Optimization 
Sales Counselor,Y-Axis Overseas Careers,Ahmedabad,On-site,1000,"1,321",60,Law Practice ,Mid-Senior level,Full-time,,Career Counseling IT Sales Inside Sales International Sales Sales Student Counseling Telemarketing 
Territory Manager,F5 Clouds,Bengaluru,On-site,18568,31,24,Information Technology & Services ,Mid-Senior level,Full-time,"Job Description - Territory Manager - (Cloud Sales)Strategic account planning, development and organizational skills, and team leadershipBuilding and maintaining C-level relationships with customers and prospects'",MarketingBusiness Development C-Level Relationships Channel Sales Cloud Computing Customer Relationship Management (CRM) Presales Sales Solution Architecture Strategic Thinking 
Project Manager,DHL,Chennai,On-site,10001,"62,921",44,Transportation/Trucking/Railroad ,Entry level,Full-time,,Negotiation Profit & Loss Project Plans Resource Planning Stakeholder Management 
Relationship Manager / Sales Manager,Embassy Group,Bengaluru,On-site,1000,907,200,Real Estate ,Mid-Senior level,Full-time,,Bands Client Services Communication Employee Benefits Market Analysis Sales Sales Effectiveness Sales Management Sales Targets Site Visits 
"Assistant Manager, eSourcing – Supplier Operations",Unilever,Bengaluru,On-site,10001,"1,10,177",51,Consumer Goods ,Mid-Senior level,Full-time,,Communication Extensions Process Excellence Procurement Strategic Sourcing 
Process Advisor,Barclays,Chennai,On-site,10001,"67,619",4,Financial Services ,Associate,Full-time,,Collating International Regulations Performance Reviews Query Resolution Queue Management 
Bus Process Delivery New Associate-Record To Report,Accenture in India,Noida,On-site,10001,"42,750",13,Information Technology & Services ,Entry level,Full-time,"""Skill required: Record To Report - Financial AnalysisDesignation: Management Level - New AssociateJob Location: NoidaQualifications: BCom/Master of Business AdministrationYears of Experience: 0 to 1 yearsAbout AccentureAccenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Technology and Operations services, and Accenture Song— all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities.Visit us at www.accenture.comWhat would you do?You will be aligned to our Financial Services, banking, Insurance, and Capital Market vertical which is focused on helping clients with their tax preparations, insurance coverage, and investment portfolios. The Record to Report team helps clients and organizations in their operational efficiency and balance sheet integrity, cuts time to close and safeguards compliance with regulatory requirements. The areas where this team's expertise lies is in posting journal entries, preparing balance sheet reconciliations, reviewing entries and reconciliations, preparing cash forecasting statement, supporting month end closing, preparing reports and supports in audits. Design and implementation of tools and processes which enable the client to perform financial analysis of its statements. Involves the ability to assess materiality and volatility of financial statement line items and key metrics utilizing financial ratios to determine the financial health of the company.What are we looking for?Ability to perform under pressureProblem-solving skillsDetail orientationAbility to establish strong client relationshipAgility for quick learningRoles And ResponsibilitiesIn this role you are required to solve routine problems, largely through precedent and referral to general guidelinesYour primary interaction is within your own team and your direct supervisorIn this role you will be given detailed instructions on all tasksThe decisions that you make impact your own work and are closely supervisedYou will be an individual contributor as a part of a team with a predetermined, narrow scope of workPlease note that this role may require you to work in rotational shiftsBCom/Master of Business Administration""",Account Reconciliation Balance Sheets Business Administration Finance Operations Quantitative Analytics Record to Report 
Business Development Associate,BYJU'S,Noida,Remote,10001,"35,630",8,E-learning ,Mid-Senior level,Full-time,"""Hello Connection,BYJU'S is hiring for the Business Development Associates ,We take pride in letting you know that you are interviewing with the world's largest Edtech Company and the reason for our exceptional growth lies in the DNA that we have. A true Byjuite defines his/her own limits in terms of efforts and rewards. There is no bar on the amount of incentive you can earn. Average incentive earned by a BDA in the system is around 30k monthly but our best associates make even 70-80k of incentive every month apart from their fixed salary. On an average, a performing associate gets his 1st opportunity in 1.5-2 years to become a manager and head a team of 20 people. And we have seen that the best of the associates can even become a manager even before completing a year""",Business Business Development DNA Edtech Hiring Interviewing Salary 
Full Stack Developer,Accellor,Hyderabad,On-site,500,228,200,Information Technology & Services ,Mid-Senior level,Full-time,,Angular Communication Databases Front-End Development Problem Solving Responsiveness Server Side Software Testing Technical Documentation Web Solutions 
Sales Counselor,Y-Axis Overseas Careers,Mumbai,On-site,1000,"1,321",29,Law Practice ,Mid-Senior level,Full-time,,Career Counseling IT Sales Inside Sales International Sales Sales Student Counseling Telemarketing 
"Senior Associate, HR Technology",Ford Motor Company,Chennai,On-site,10001,"1,28,029",82,Automotive ,Mid-Senior level,Full-time,,Business Requirements Computer Science End User Training Human Capital Management IT Documentation Problem Solving Process Review Security Administration System Testing User Training 
Tax Consultant II/Tax Senior - UK Tax - Global Compliance Reporting,Deloitte,Kolkata,On-site,10001,"4,33,219",30,Management Consulting ,Mid-Senior level,Full-time,,Business Requirements Communication Compliance Reporting Indirect Taxation Organization Skills Resolving Issues Tax Compliance Tax Preparation Tax Reporting Written Communication 
Content Specialist,Zomato,Goa,On-site,5000,"8,519",32,Internet ,Entry level,Full-time,"Execute quality check of the restaurant data on our app to ensure that information is updated and accurate', '', '', '', '', '', '', '', '', ''",AdvertisingSocial Media MarketingAttention to Detail Content Marketing Copywriting Creative Writing Digital Journalism Food & Beverage Keyword Research Social Media Blogging 
Management Trainee-BFS026824,Genpact,Hyderabad,Hybrid,10001,"1,30,023",30,Information Technology & Services ,Associate,Full-time,,Bid Processes E-auctions Indirect Spend Non-disclosure Agreements Reporting Requirements Service-Level Agreements (SLA) Source to Pay Supplier Evaluation Supplier Performance Supplier Relationship Management 
Account Manager,SquadStack,Noida,Hybrid,500,419,35,Internet ,Mid-Senior level,Full-time,,Account Management Business Relationship Management Communication Forecasting Interpersonal Skills Logistics Management New Business Opportunities Onboarding Problem Solving Records Management 
Human Resources (HR) Internship in Chennai at CaratLane Trading Private Limited,CaratLane - A Tanishq Partnership,Chennai,Hybrid,1000,"1,350",8,Luxury Goods & Jewelry ,Internship,Full-time,,Human Resources (HR)Business Communications Communication Employee Engagement Employee Relations HR Management HR Policies New Product Rollout Resource Management Talent Management 
Associate,PwC India,Bengaluru,On-site,10000,"17,772",39,Management Consulting ,Entry level,Full-time,,Clinical Practices Code of Ethics Communication Compliance Procedures Good Clinical Practice (GCP) Google Cloud Platform (GCP) Migration Projects Professional Skills Strategy to Execution 
Business Analyst and Reporting Specialist - Team Leader,JPMorgan Chase & Co.,Mumbai,On-site,10001,"2,71,657",6,Financial Services ,Mid-Senior level,Full-time,"Build and maintain effective working relationships with internal team members, as well as with other teams within the firm', 'Prepare client-specific reporting', 'Prioritize tasks and assignments to meet deadlines, and escalate concerns to direct manager', '', '', '', '', '', '', '', '', '', '', ''",Business AnalysisAcceptance Testing Alteryx Communication Interpersonal Skills MIS Reporting Presentations QlikView Requirements Gathering User Acceptance Testing 
AP-AM-HEA008163,Genpact,Gurugram,On-site,10001,"1,30,023",5,Information Technology & Services ,Associate,Full-time,,Accounts Payable Business Process Management Internal Audits Internal Compliance Operational Activities Presales Requisitions Sales Operations Service-Level Agreements (SLA) Transactional 
"Analyst, Relationship Manager - Client Service",BlackRock,Mumbai,Hybrid,10001,"25,387",52,Financial Services ,Mid-Senior level,Full-time,,Client Relations Communication Customer Satisfaction Customer Support Discerning Email Etiquette Enquiries Finance Prioritize Workload User Provisioning 
Sales Executive,Peliswan Impex Private Limited,Ahmedabad,On-site,45201,16,31,Import & Export ,Mid-Senior level,Full-time,"Position: Sales and Marketing Executive Full TimeReporting to: Sales ManagerPrimary Function: Prospecting techniques with a focus on mutual business fit, research, generate business and consultative discussion, create highly relevant sales opportunities to close them.'",MarketingClient Relations Lead Qualification Sales Sales & Marketing Sales Management 
Sales Executive,FARE Labs Pvt. Ltd.,Gurugram,On-site,1000,323,63,Research ,Mid-Senior level,Full-time,"Job Title: Business Development ExecutiveLocation- GurugramEmployment Type- Full Time, PermanentMinimum Education- Graduate Degree in Management/EngineeringJob Description:Fare Labs Pvt. Ltd is urgently looking for Business Development Executives in handling all the key responsibilities mentioned below.'",Business Business Development Customer Relationship Management (CRM) Deal Closure Evidence Negotiation Presentation Skills Presentations Sales Sales Management 
Customer Care Collections Sr. Rep.,NTT DATA Services,Noida,On-site,10001,"25,523",12,Information Technology & Services ,Mid-Senior level,Full-time,"Performing outbound calls to insurance companies (in the US) to collect outstanding Accounts Receivables.', 'Responding to customer requests by phone and/or in writing to ensure customer satisfaction and to assure that service standards are met', 'Analyzing medical insurance claims for quality assurance', '', '', '', '', '', '', '', '', '', ''",Business Rules Client Requirements Contact Centers Customer Satisfaction Customer Support Keyboards New Hires Phone Etiquette Service Orientation Training 
Executive Assistant - Group Information Technology,Welspun Group,Mumbai,On-site,10001,"4,809",88,Textiles ,Internship,Full-time,,Business Business Administration Communication Executive Administrative Assistance Presentations Service-Level Agreements (SLA) 
Chemistry Teacher,Father LeBlond School - India,Siliguri,On-site,200,23,25,Education Management ,Mid-Senior level,Full-time,"The Chemistry teacher must be able to create lesson plans.', 'Preparing and delivering lectures.', 'Creating and supervising laboratory activities for students.', '', '', ''",Classroom Management Laboratory Skills Lesson Planning Teaching 
Associate/ Senior Associate- SDR- North Americas,GEP Worldwide,Navi Mumbai,Hybrid,5000,"4,723",200,Management Consulting ,Mid-Senior level,Full-time,,Lead GenerationAudio Conferencing Business-to-Business (B2B) Inbound Marketing 
Executive - Credit Operations(JR00111501),Bajaj Finserv,Goalpara,On-site,10001,"33,030",4,Financial Services ,Mid-Senior level,Full-time,"JR00111501', 'Executive - Credit Operations', '', '', '', '', '', '', '', '', '', '', '', '', ''",MarketingAppraisal Communication Data Entry Interpersonal Communication Interpersonal Skills Post-Sales Sales 
Assistant Manager Finance Accounting,Infosys BPM,Pune,On-site,10001,"33,691",101,Information Technology & Services ,Mid-Senior level,Full-time,"To process Invoices, Reconcile Good receipts and manage customer queries (email and call)', 'Basic understanding of Accounting standards.', 'Good knowledge of Microsoft Office Tools – Word, Excel and Outlook', 'Strong written and verbal communication skills both in English and French', 'Should be able to understand and resolve customer queries within defined timelines.'",Account Reconciliation Accounting Standards Communication Communication Training English Finance French Microsoft Outlook Oral Communication Timelines 
BD Administrative Assistant,UPS,Pune,On-site,10001,"1,43,796",16,Transportation/Trucking/Railroad ,Entry level,Full-time,"Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow—people with a unique combination of skill + passion. If you have the qualities and drive to lead yourself or teams, there are roles ready to cultivate your skills and take you to the next level.Job Description:This position performs general administrative responsibilities including preparation of reports using various software packages, compilation of information from various sources, and handling small scale projects. He/She performs general office duties that may include word processing, data entry, auditing documents, answering phones, distributing mail, reserving conference rooms, coordinating meetings and other duties as assigned. This position may deal with confidential material on a regular basis.Employee Type:PermanentUPS is committed to providing a workplace free of discrimination, harassment, and retaliation.'",Communication Interpersonal Skills Travel Arrangements 
Chat Customer Service Representative – Hybrid Remote – Mumbai,TTEC,Mumbai,Remote,10001,"32,142",171,Outsourcing/Offshoring ,Mid-Senior level,Full-time,,Chat Communication Computer Literacy Customer Experience Customer Service Representatives Customer Support Grammar Phone Etiquette Skilled Multi-tasker Spelling 
Digital Marketing Specialist,Server Pundits,Mangaluru,On-site,45201,2,30,Information Technology & Services ,Mid-Senior level,Full-time,,MarketingCampaigns Digital Marketing Digital Media Google Ads Google Analytics Google Webmaster Tools Marketing Campaign Management Search Engine Marketing (SEM) Search Engine Optimization (SEO) 
Plant Production Manager - Roto Moulding Water Tank,Nirmaan Pipes (Sitaram Polyplast Pvt. Ltd.),Giridih,On-site,200,9,81,Building Materials ,Mid-Senior level,Full-time,,Human Resources (HR)Budgeting Computer Literacy Conflict Resolution Easily Adaptable Injection Molding Production Management Resource Allocation Rotoscoping Tanks 
Senior Officer,Standard Chartered Bank,Pune,On-site,10001,"68,715",74,Banking ,Mid-Senior level,Full-time,"Expertise and advanced knowledge of banking and foreign exchange laws, rules, regulations and train the team in regulatory policies and procedures.Subject Matter expertise in External Commercial Borrowing and Foreign Direct Investment including regulatory and reporting requirements around the entire lifecycle of the transaction', 'Expertise and advanced knowledge of banking and foreign exchange laws, rules, regulations and train the team in regulatory policies and procedures.', 'Subject Matter expertise in External Commercial Borrowing and Foreign Direct Investment including regulatory and reporting requirements around the entire lifecycle of the transaction', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ''",Code of Conduct Communication Foreign Investment Policies & Procedures Regulatory Examinations Regulatory Guidelines Regulatory Reporting Reporting Requirements Responsiveness Risk-Based Inspection (RBI) 
Field Service Engr II,Honeywell,Mumbai,On-site,10001,"1,23,606",41,Electrical & Electronic Manufacturing ,Entry level,Full-time,"Engineer is expected to carry out preventive maintenance / corrective / emergency', 'Preventive Maintenance –Backup, Modification, Report Submission, Supervision of system Cleaning of existing running system.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', ''",Communication Corrective Maintenance Preventive Maintenance Service-Level Agreements (SLA) Troubleshooting Written Communication 
Senior Software Engineer,Careernet,Bengaluru,Hybrid,5000,"2,899",90,Staffing & Recruiting ,Mid-Senior level,Full-time,"4 or more years experience in programmingStrong programming skills in one or more of the modern programming languages: Golang, Python, Node.JSFundamental ideas of RESTful Services, CRUD operations, etc.Database technologies like MySQL, Cassandra, Redis, InfluxDB, etc.Modern cloud infrastructure frameworks like Nginx, Kafka, zookeeper, Kubernetes, Docker, etc.'",Apache Kafka Cassandra Docker Products Go (Programming Language) InfluxDB MySQL Nginx Python (Programming Language) Redis SQL 
Business Development Manager,Unacademy,Bengaluru,On-site,10000,"7,562",106,E-learning ,Mid-Senior level,Full-time,,Business Development Call Quality Communication New Hire Training New Hires Quality Assurance Sales Sales Trainings Soft Skills Timelines 
Marketing Consultant,Escalent,Bengaluru,On-site,1000,775,10,Market Research ,Mid-Senior level,Full-time,,Campaigns Content Marketing Copywriting Digital Marketing Google Ads Marketing Consulting Marketing Leadership Media Strategy Social Media Social Media Content Creation 
Marketing Executive,Bayer,Ahmedabad,On-site,10001,"90,886",54,Chemicals ,Mid-Senior level,Full-time,,Competitive Landscape Customer Engagement Distribution Management Literacy Pharmaceutical Sales Pharmaceuticals Sales Sales & Marketing Sales Processes Tablets 
Sales Engineer,Mechatro Cranes,Bengaluru,On-site,200,19,67,Machinery ,Mid-Senior level,Full-time,"Customer & Requirement Identification', 'Lead Generation', 'Presentation of product line', 'Generation of RFQ', 'Offer Preparation, Preparing tenders, proposals and quotations', '', '', '', '', '', '', '', ''",Lead GenerationBusiness Business Value Interpersonal Skills Product Demonstration Sales Technical Demonstrations Technical Support Travel 
Subject Matter Expert (Statistics),Kunduz,Bengaluru,Remote,200,630,2,E-learning ,Mid-Senior level,Part-time,"""About KunduzKunduz is a global ed-tech startup aiming to make educational resources more accessible for everyone and democratize test prep and learning. Kunduz's flagship Q&A product is a mobile platform that helps students get their questions answered through its tutor network and proprietary AI technology. So far, 35,000 professional tutors answered 40 million questions from thousands of students across multiple countries through Kunduz.""",Mathematics Statistics Subject Matter Experts Teaching 
Team Lead,Infosys BPM,Jaipur,On-site,10001,"33,691",73,Information Technology & Services ,Mid-Senior level,Full-time,Invoice Processing – Po and Non PO Payment processing and Banking Vendor query Resolution Employee expense Processing Statement Reconciliation Vendor Clearing Other monthly reporting Good written and verbal communication Hands on working knowledge of SAP 4 Plus years of experience. Team handling experience mandatory.',Accounting Standards Financial Transaction Processing Negotiation 
HR Specialist-Systems & Analytics,Escalent,Bengaluru,On-site,1000,775,10,Market Research ,Entry level,Full-time,,Human Resources (HR)Business Transformation Data Analytics Data Mapping Database Administration Flow Charts Human Resources Information Systems (HRIS) Presentations Requirement Specifications Systems Analysis 
HR Intern (Remote),Two Point One,Noida,Remote,18568,25,169,Information Technology & Services ,Internship,Internship,,AdvertisingAdministration Attention to Detail Communication Data Entry Employee Engagement Employee Relations Google Workplace Interpersonal Skills Problem Solving 
